stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
275,275,CARLSON DR & STATE UNIV DRIVE NORTH (EB),Buses head EB,38.564533,-121.42614,0
291,291,UNIVERSITY/65TH LRT & BAY 1 (EB),Buses head EB,38.552704,-121.427469,0
1099,1099,ARDEN FAIR MALL & TERMINAL (NB),Buses head NB,38.59993,-121.426293,0
1660,1660,NORTHROP AVE & HOWE AVE (WB),Buses head WB,38.581684,-121.414009,0
3185,3185,HOWE AVE & ARDEN WAY (SB),Buses head SB,38.595551,-121.415573,0
3190,3190,HOWE AVE & NORTHROP AVE (SB),Buses head SB,38.581284,-121.415497,0
3192,3192,HOWE AVE & FAIR OAKS BLVD (SB),Buses head SB,38.574837,-121.415611,0
3193,3193,FAIR OAKS BLVD & CADILLAC (WB),Buses head WB,38.570885,-121.419075,0
3894,3894,HOWE AVE & FAIR OAKS BLVD (NB),Buses head NB,38.575386,-121.415176,0
7003,7003,Marconi/Arcade Station (WB),Buses head WB,38.621087,-121.425055,0
7055,7055,University/65th Street Station (EB),Buses head EB,38.5523,-121.426566,0
7076,7076,University/65th Street Station (WB),Buses head WB,38.552648,-121.427486,0
7092,7092,Sacramento Valley Station (WB),Buses head WB,38.584627,-121.500439,2
7093,7093,Sacramento Valley Station (EB),Buses head EB,38.584323,-121.499307,2
